rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
520,Solitaire Tripeaks: Farm Adventure,97299,1.0 M,4,1.4,GAME CARD,73069,13513,5613,1787,3315,FALSE,Metroid Prime,0.67,Nintendo,Shooter,2002,GC
521,Cribbage Classic,97018,1.0 M,4,0.7,GAME CARD,68858,21134,3377,1368,2278,FALSE,Finding Nemo,01.05,THQ,Action,2003,GBA
522,Tien Len - Southern Poker,94069,10.0 M,4,0.1,GAME CARD,67229,9785,8896,2076,6080,FALSE,Myst,2.79,Red Orb,Adventure,1994,PC
523,Otogi: Spirit Agents,91698,1.0 M,4,0.0,GAME CARD,59670,16308,6950,2426,6341,FALSE,Need for Speed: Hot Pursuit,1.25,Electronic Arts,Racing,2010,PS3
524,Happy Scratch,90695,1.0 M,4,0.3,GAME CARD,75861,4012,2827,1602,6391,FALSE,Imagine: Fashion Designer,1.19,Ubisoft,Simulation,2007,DS
525,Epic Cards Battle(TCG),90585,1.0 M,4,74.3,GAME CARD,56281,19515,8904,2133,3749,FALSE,WWE SmackDown! Here Comes the Pain,01.06,THQ,Fighting,2003,PS2
526,Age of Ishtaria - A.Battle RPG,88866,1.0 M,4,0.0,GAME CARD,49649,16835,7470,3670,11240,FALSE,Star Wars: The Force Unleashed,0.8,LucasArts,Action,2008,X360
527,Zynga Poker™ – Free Texas Holdem Online Card Games,2582669,50.0 M,4,393.4,GAME CASINO,1821678,301722,110833,52012,296421,FALSE,Yoshi's Island DS,0.07,Nintendo,Platform,2006,DS
528,Slotomania™ Slots: Casino Slot Machine Games,1822223,50.0 M,4,0.8,GAME CASINO,1293272,259642,102017,42902,124388,FALSE,Hot Shots Golf,0.2,Sony Computer Entertainment,Sports,1997,PS
529,Teen Patti Gold – Indian Family Card Game,1529589,50.0 M,4,1.0,GAME CASINO,1210258,112027,46530,24581,136190,FALSE,Killzone 3,0.88,Sony Computer Entertainment,Shooter,2011,PS3
530,Teen Patti by Octro - Real 3 Patti Game,1494419,50.0 M,4,0.3,GAME CASINO,1080443,110156,68549,41577,193691,FALSE,A Bug's Life,0.72,Sony Computer Entertainment,Platform,1998,PS
531,Coin Dozer: Sweepstakes,1485440,50.0 M,4,0.3,GAME CASINO,1102560,158208,85517,34400,104752,FALSE,WWF SmackDown! Just Bring It,1.15,THQ,Fighting,2001,PS2
532,House of Fun: Play Casino Slots,1418336,10.0 M,4,0.9,GAME CASINO,1065696,180009,82885,28435,61309,FALSE,Dragon Quest V: Tenkuu no Hanayome,0,Enix Corporation,Role-Playing,1992,SNES
533,Scatter Slots - Las Vegas Casino Game 777 Online,1259099,10.0 M,4,0.9,GAME CASINO,933699,202401,78707,14826,29463,FALSE,Mortal Kombat Trilogy,0.7,GT Interactive,Fighting,1996,PS
534,Lucky Day - Win Real Rewards,1006982,10.0 M,3,0.2,GAME CASINO,649353,60917,44026,37669,215015,FALSE,Battlefield 3,1.43,Electronic Arts,Shooter,2011,PC
