rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
1,Garena Free Fire- World Series,86273129,500.0 M,4,2.1,GAME ACTION,63546766,4949507,3158756,2122183,12495915,FALSE,Wii Sports,29.02,Nintendo,Sports,2006,Wii
2,PUBG MOBILE - Traverse,37276732,500.0 M,4,1.8,GAME ACTION,28339753,2164478,1253185,809821,4709492,FALSE,Super Mario Bros.,3.58,Nintendo,Platform,1985,NES
3,Mobile Legends: Bang Bang,26663595,100.0 M,4,1.5,GAME ACTION,18777988,1812094,1050600,713912,4308998,FALSE,Mario Kart Wii,12.88,Nintendo,Racing,2008,Wii
4,Brawl Stars,17971552,100.0 M,4,1.4,GAME ACTION,13018610,1552950,774012,406184,2219794,FALSE,Wii Sports Resort,11.01,Nintendo,Sports,2009,Wii
5,Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500.0 M,4,0.8,GAME ACTION,9827328,2124154,1047741,380670,1084340,FALSE,Pokemon Red/Pokemon Blue,8.89,Nintendo,Role-Playing,1996,GB
6,Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100.0 M,4,2.0,GAME ACTION,10501443,1274162,517273,268489,1010778,FALSE,Tetris,2.26,Nintendo,Puzzle,1989,GB
7,Among Us,11936964,100.0 M,3,1.8,GAME ACTION,5954262,1041297,853099,719378,3368926,FALSE,New Super Mario Bros.,9.23,Nintendo,Platform,2006,DS
8,Temple Run 2,9633929,500.0 M,4,0.3,GAME ACTION,6579369,991341,614643,349003,1099571,FALSE,Wii Play,9.2,Nintendo,Misc,2006,Wii
9,PUBG MOBILE LITE,7578630,100.0 M,4,1.0,GAME ACTION,5382545,500696,351523,238986,1104879,FALSE,New Super Mario Bros. Wii,07.06,Nintendo,Platform,2009,Wii
10,Gangstar Vegas: World of Crime,6268377,100.0 M,4,0.4,GAME ACTION,4509647,605510,319332,167792,666094,FALSE,Duck Hunt,0.63,Nintendo,Shooter,1984,NES
11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100.0 M,4,0.2,GAME ACTION,3866308,527159,326294,186593,775578,FALSE,Nintendogs,11,Nintendo,Simulation,2005,DS
12,Bowmasters,5471344,100.0 M,4,2.0,GAME ACTION,4319351,514574,229990,98901,308525,FALSE,Mario Kart DS,7.57,Nintendo,Racing,2005,DS
13,Standoff 2,4801658,50.0 M,4,3.0,GAME ACTION,3884644,365380,135150,65422,351059,FALSE,Pokemon Gold/Pokemon Silver,6.18,Nintendo,Role-Playing,1999,GB
14,Talking Tom Gold Run,4710639,100.0 M,4,1.3,GAME ACTION,3581634,397794,200800,116460,413948,FALSE,Wii Fit,08.03,Nintendo,Sports,2007,Wii
15,Garena Liên Quân Mobile,4564398,50.0 M,4,1.0,GAME ACTION,3142312,386513,204843,111645,719082,FALSE,Wii Fit Plus,8.59,Nintendo,Sports,2009,Wii
16,Banana Kong,4496723,100.0 M,4,0.5,GAME ACTION,3497817,518453,223009,72115,185328,FALSE,Kinect Adventures!,4.94,Microsoft Game Studios,Misc,2010,X360
17,Crossy Road,4464668,100.0 M,4,0.1,GAME ACTION,3379550,576816,234463,68644,205194,FALSE,Grand Theft Auto V,9.27,Take-Two Interactive,Action,2013,PS3
18,War Robots. 6v6 Tactical Multiplayer Battles,4221389,50.0 M,3,692.7,GAME ACTION,2634036,450688,267931,164087,704645,FALSE,Grand Theft Auto: San Andreas,0.4,Take-Two Interactive,Action,2004,PS2
19,MORTAL KOMBAT: The Ultimate Fighting Game!,4215808,50.0 M,4,0.5,GAME ACTION,2874353,457806,254154,136153,493340,FALSE,Super Mario World,3.75,Nintendo,Platform,1990,SNES
20,Last Day on Earth: Survival,4159837,50.0 M,4,0.7,GAME ACTION,3073534,463932,205166,103198,314004,FALSE,Brain Age: Train Your Brain in Minutes a Day,9.26,Nintendo,Misc,2005,DS
21,Agar.io,4112075,100.0 M,3,0.2,GAME ACTION,2493810,428315,289428,156522,743997,FALSE,Pokemon Diamond/Pokemon Pearl,4.52,Nintendo,Role-Playing,2006,DS
22,DEER HUNTER CLASSIC,3987062,100.0 M,4,0.0,GAME ACTION,2776350,614755,242698,81199,272058,FALSE,Super Mario Land,2.71,Nintendo,Platform,1989,GB
23,Modern Combat 5: eSports FPS,3516024,100.0 M,4,0.5,GAME ACTION,2419540,421218,214049,100008,361206,FALSE,Super Mario Bros. 3,3.44,Nintendo,Platform,1988,NES
24,Kick the Buddy,3213257,100.0 M,4,1.0,GAME ACTION,2174466,265019,189630,118612,465528,FALSE,Grand Theft Auto V,5.31,Take-Two Interactive,Action,2013,X360
25,Special Forces Group 2,3195503,100.0 M,4,1.4,GAME ACTION,2486283,232254,118927,70889,287147,FALSE,Grand Theft Auto: Vice City,5.49,Take-Two Interactive,Action,2002,PS2
26,DEAD TRIGGER 2 - Zombie Game FPS shooter,3140510,50.0 M,4,0.2,GAME ACTION,2332406,409344,156460,63835,178462,FALSE,Pokemon Ruby/Pokemon Sapphire,3.9,Nintendo,Role-Playing,2002,GBA
27,Mini Militia - Doodle Army 2,3133361,100.0 M,4,0.9,GAME ACTION,2107121,271167,174340,107203,473528,FALSE,Pokemon Black/Pokemon White,3.28,Nintendo,Role-Playing,2010,DS
28,Call of Duty®: Mobile - Garena,2695923,10.0 M,4,3.2,GAME ACTION,1922909,223625,133776,79762,335849,FALSE,Brain Age 2: More Training in Minutes a Day,5.36,Nintendo,Puzzle,2005,DS
29,CATS: Crash Arena Turbo Stars,2670589,50.0 M,4,1082.3,GAME ACTION,1944649,272948,134237,69845,248907,FALSE,Gran Turismo 3: A-Spec,05.09,Sony Computer Entertainment,Racing,2001,PS2
30,Injustice: Gods Among Us,2540439,10.0 M,4,0.1,GAME ACTION,1879504,251048,115871,60732,233281,FALSE,Call of Duty: Modern Warfare 3,4.28,Activision,Shooter,2011,X360
31,Swamp Attack,2472561,100.0 M,4,0.3,GAME ACTION,1841035,284687,138333,56785,151718,FALSE,Pokémon Yellow: Special Pikachu Edition,05.04,Nintendo,Role-Playing,1998,GB
32,GUNSHIP BATTLE: Helicopter 3D,2380639,50.0 M,4,0.2,GAME ACTION,1582549,267812,149090,73581,307605,FALSE,Call of Duty: Black Ops,3.73,Activision,Shooter,2010,X360
33,Real Steel World Robot Boxing,2365838,50.0 M,4,0.1,GAME ACTION,1849560,211891,101452,42652,160281,FALSE,Pokemon X/Pokemon Y,04.05,Nintendo,Role-Playing,2013,3DS
34,Critical Ops: Online Multiplayer FPS Shooting Game,2271977,50.0 M,4,0.4,GAME ACTION,1561779,253442,130615,65118,261021,FALSE,Call of Duty: Black Ops 3,5.81,Activision,Shooter,2015,PS4
35,LINE Rangers - a tower defense RPG w/Brown & Cony!,2131549,10.0 M,4,0.1,GAME ACTION,1508264,249413,138706,48233,186930,FALSE,Call of Duty: Black Ops II,5.88,Activision,Shooter,2012,PS3
36,Worms Zone .io - Voracious Snake,2100984,100.0 M,4,3.1,GAME ACTION,1509125,187398,116123,66573,221763,FALSE,Call of Duty: Black Ops II,4.3,Activision,Shooter,2012,X360
37,Six-Guns: Gang Showdown,2083413,10.0 M,4,0.1,GAME ACTION,1394048,187327,118080,65989,317967,FALSE,Call of Duty: Modern Warfare 2,3.63,Activision,Shooter,2009,X360
38,DEAD TARGET: Zombie Offline - Shooting Games,2006745,100.0 M,4,0.9,GAME ACTION,1474331,212483,115682,53493,150754,FALSE,Call of Duty: Modern Warfare 3,5.82,Activision,Shooter,2011,PS3
39,FRONTLINE COMMANDO: D-DAY,1985016,10.0 M,3,0.3,GAME ACTION,1293275,125940,82481,56490,426828,FALSE,Grand Theft Auto III,4.51,Take-Two Interactive,Action,2001,PS2
40,Mario Kart Tour,1949497,50.0 M,4,0.7,GAME ACTION,1268146,253822,113829,62099,251599,FALSE,Super Smash Bros. Brawl,2.61,Nintendo,Fighting,2008,Wii
41,Guns of Boom - Online PvP Action,1860814,50.0 M,4,0.1,GAME ACTION,1160948,217692,116516,65998,299658,FALSE,Call of Duty: Black Ops,4.44,Activision,Shooter,2010,PS3
42,Hunter Assassin,1846221,100.0 M,4,2.7,GAME ACTION,1224239,194406,138751,80276,208547,FALSE,Animal Crossing: Wild World,3.52,Nintendo,Simulation,2005,DS
43,RULES OF SURVIVAL,1823477,50.0 M,3,0.1,GAME ACTION,1182010,113508,91381,66639,369937,FALSE,Mario Kart 7,3.91,Nintendo,Racing,2011,3DS
44,Zombie Catchers - love the hunt!,1796325,100.0 M,4,1.4,GAME ACTION,1346602,186584,95030,41917,126190,FALSE,Halo 3,2.83,Microsoft Game Studios,Shooter,2007,X360
45,Into the Dead,1714060,50.0 M,4,0.2,GAME ACTION,1307508,207492,77701,27838,93519,FALSE,Grand Theft Auto V,5.81,Take-Two Interactive,Action,2014,PS4
46,Respawnables: Gun Shooting Games,1656299,10.0 M,4,0.1,GAME ACTION,1168260,143292,81868,46576,216300,FALSE,Pokemon HeartGold/Pokemon SoulSilver,2.77,Nintendo,Action,2009,DS
47,Modern Strike Online: Free PvP FPS shooting game,1642589,50.0 M,4,1.1,GAME ACTION,1250905,137258,70168,38552,145704,FALSE,Super Mario 64,2.85,Nintendo,Platform,1996,N64
48,Block Strike,1607897,10.0 M,4,0.2,GAME ACTION,1036342,184035,107587,53758,226173,FALSE,Gran Turismo 4,0.01,Sony Computer Entertainment,Racing,2004,PS2
49,Blitz Brigade - Online FPS fun,1599244,10.0 M,3,0.0,GAME ACTION,996575,145501,99100,53947,304119,FALSE,Super Mario Galaxy,3.4,Nintendo,Platform,2007,Wii
50,Super Mario Run,1583866,100.0 M,3,0.3,GAME ACTION,877904,162431,131708,84146,327675,FALSE,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3.37,Nintendo,Role-Playing,2014,3DS
51,Tomb of the Mask,1576576,100.0 M,4,2.3,GAME ACTION,1146916,188132,81053,40397,120075,FALSE,Super Mario Land 2: 6 Golden Coins,02.04,Nintendo,Adventure,1992,GB
52,Archero,1542169,50.0 M,4,0.9,GAME ACTION,1081928,209791,90183,36824,123441,FALSE,Grand Theft Auto IV,3.1,Take-Two Interactive,Action,2008,X360
53,DINO HUNTER: DEADLY SHORES,1495507,50.0 M,4,0.1,GAME ACTION,1096349,179585,80390,29979,109201,FALSE,Gran Turismo,3.87,Sony Computer Entertainment,Racing,1997,PS
54,DEAD TRIGGER - Offline Zombie Shooter,1481552,10.0 M,4,0.1,GAME ACTION,1101432,189555,81708,28774,80080,FALSE,Super Mario 3D Land,2.99,Nintendo,Platform,2011,3DS
55,Johnny Trigger - Action Shooting Game,1457639,100.0 M,4,1.2,GAME ACTION,1091308,146150,77445,36949,105784,FALSE,Gran Turismo 5,4.88,Sony Computer Entertainment,Racing,2010,PS3
56,PPSSPP - PSP emulator,1396630,100.0 M,4,0.9,GAME ACTION,1033914,134027,67488,33534,127664,FALSE,Call of Duty: Modern Warfare 2,3.69,Activision,Shooter,2009,PS3
57,Robbery Bob - Sneaky Adventures,1344699,100.0 M,4,1.7,GAME ACTION,1027860,91275,58201,37535,129825,FALSE,Grand Theft Auto IV,3.76,Take-Two Interactive,Action,2008,PS3
58,Hide Online - Hunters vs Props,1301440,50.0 M,4,1.2,GAME ACTION,944546,135687,69421,32918,118866,FALSE,Super Mario All-Stars,2.15,Nintendo,Platform,1993,SNES
59,Soul Knight,1291305,50.0 M,4,1.4,GAME ACTION,992147,145616,55754,23143,74642,FALSE,Pokemon FireRed/Pokemon LeafGreen,2.65,Nintendo,Role-Playing,2004,GBA
60,aquapark.io,1258805,100.0 M,4,1.3,GAME ACTION,820853,127892,80228,51083,178747,FALSE,Super Mario 64,3.11,Nintendo,Platform,2004,DS
61,Creative Destruction,1254295,10.0 M,4,0.5,GAME ACTION,896055,102711,59553,34605,161368,FALSE,Just Dance 3,3.15,Ubisoft,Misc,2011,Wii
62,Anger of stick 5 : zombie,1238228,100.0 M,4,1.3,GAME ACTION,909585,103667,61570,36884,126519,FALSE,Call of Duty: Ghosts,2.63,Activision,Shooter,2013,X360
63,Bomber Friends,1227050,50.0 M,4,0.8,GAME ACTION,876781,130160,71604,34890,113612,FALSE,Halo: Reach,1.98,Microsoft Game Studios,Shooter,2010,X360
64,DRAGON BALL LEGENDS,1216126,10.0 M,4,1.6,GAME ACTION,868905,139200,61082,28015,118922,FALSE,Mario Kart 64,1.94,Nintendo,Racing,1996,N64
65,Modern Sniper,1196490,50.0 M,4,0.3,GAME ACTION,777088,124118,91842,47065,156374,FALSE,New Super Mario Bros. 2,03.07,Nintendo,Platform,2012,3DS
66,Nebulous.io,1166709,50.0 M,4,0.3,GAME ACTION,829860,123712,68779,31450,112906,FALSE,Halo 4,2.36,Microsoft Game Studios,Shooter,2012,X360
67,War Machines: Tank Battle - Army & Military Games,1161701,100.0 M,4,1.2,GAME ACTION,692694,176040,96601,46480,149883,FALSE,Final Fantasy VII,2.47,Sony Computer Entertainment,Role-Playing,1997,PS
68,Sea Battle 2,1134127,10.0 M,4,1.4,GAME ACTION,904701,144910,43308,12872,28334,FALSE,Call of Duty: Ghosts,3.73,Activision,Shooter,2013,PS3
69,FRAG Pro Shooter,1129645,50.0 M,4,4.1,GAME ACTION,846003,88206,53387,31451,110596,FALSE,Just Dance 2,2.89,Ubisoft,Misc,2010,Wii
70,PUBG MOBILE,1073769,10.0 M,4,2.7,GAME ACTION,839876,56847,34971,22041,120032,FALSE,Gran Turismo 2,3.42,Sony Computer Entertainment,Racing,1999,PS
71,Rope Hero: Vice Town,1070197,100.0 M,4,2.6,GAME ACTION,758309,80160,55138,37528,139060,FALSE,Call of Duty 4: Modern Warfare,2.38,Activision,Shooter,2007,X360
72,DRAGON BALL Z DOKKAN BATTLE,1066554,10.0 M,4,0.5,GAME ACTION,795922,118008,40491,18831,93301,FALSE,Donkey Kong Country,1.71,Nintendo,Platform,1994,SNES
73,Deer Hunter 2018,1023162,50.0 M,4,0.0,GAME ACTION,637243,120170,62893,33380,169472,FALSE,Minecraft,2.83,Microsoft Game Studios,Misc,2013,X360
74,FRONTLINE COMMANDO 2,998677,10.0 M,4,0.0,GAME ACTION,716212,146888,62106,19161,54308,FALSE,Animal Crossing: New Leaf,2.32,Nintendo,Simulation,2012,3DS
75,Real Gangster Crime,996586,100.0 M,4,2.7,GAME ACTION,682355,73943,51588,39307,149391,FALSE,Mario Party DS,1.88,Nintendo,Misc,2007,DS
76,Battlelands Royale,992742,10.0 M,4,0.2,GAME ACTION,617561,123643,72319,38945,140270,FALSE,The Elder Scrolls V: Skyrim,2.86,Bethesda Softworks,Role-Playing,2011,X360
77,Talking Tom Hero Dash - Run Game,974789,100.0 M,4,4.2,GAME ACTION,711239,72360,43788,30322,117078,FALSE,Super Mario Kart,1.24,Nintendo,Racing,1992,SNES
78,Arena of Valor: 5v5 Arena Game,963507,10.0 M,3,0.5,GAME ACTION,547583,109014,62331,33309,211267,FALSE,FIFA 16,06.06,Electronic Arts,Sports,2015,PS4
79,BombSquad,907609,10.0 M,4,0.7,GAME ACTION,669505,94180,47135,22028,74760,FALSE,Wii Party,3.53,Nintendo,Misc,2010,Wii
80,PUBG MOBILE VN – KONG x GODZILLA,900069,10.0 M,4,1.5,GAME ACTION,623089,74194,38393,22556,141835,FALSE,Halo 2,1.53,Microsoft Game Studios,Shooter,2004,XB
81,Crisis Action: 5th Anniversary,875257,10.0 M,3,0.1,GAME ACTION,550679,68691,58297,34315,163272,FALSE,Mario Party 8,2.3,Nintendo,Misc,2007,Wii
82,Supreme Duelist Stickman,875065,100.0 M,4,6.4,GAME ACTION,702488,63211,30606,16093,62664,FALSE,Pokemon Black 2/Pokemon White 2,1.86,Nintendo,Role-Playing,2012,DS
83,Miraculous Ladybug & Cat Noir,864581,100.0 M,4,2.5,GAME ACTION,650499,70109,36672,23021,84278,FALSE,FIFA Soccer 13,05.05,Electronic Arts,Action,2012,PS3
84,Injustice 2,809654,10.0 M,4,0.5,GAME ACTION,537380,104057,50801,25962,91451,FALSE,The Sims 3,6.42,Electronic Arts,Simulation,2009,PC
85,NARUTO X BORUTO NINJA VOLTAGE,809487,10.0 M,4,1.9,GAME ACTION,550198,75892,46216,25340,111839,FALSE,GoldenEye 007,02.01,Nintendo,Shooter,1997,N64
86,Flippy Knife,808331,10.0 M,4,0.3,GAME ACTION,514130,120636,67629,30074,75860,FALSE,Mario & Sonic at the Olympic Games,3.9,Sega,Sports,2007,Wii
87,Bus Rush,800432,100.0 M,4,0.1,GAME ACTION,565625,79308,51475,23173,80847,FALSE,Final Fantasy X,02.07,Sony Computer Entertainment,Role-Playing,2001,PS2
88,BLOOD & GLORY,799866,10.0 M,3,0.0,GAME ACTION,487332,76581,33776,18217,183958,FALSE,Final Fantasy VIII,1.72,SquareSoft,Role-Playing,1999,PS
89,Murder us,799114,10.0 M,4,2.9,GAME ACTION,628812,68233,33155,13323,55590,FALSE,Pokémon Platinum Version,1.78,Nintendo,Role-Playing,2008,DS
90,Robbery Bob 2: Double Trouble,794575,50.0 M,4,1.7,GAME ACTION,614844,53826,33678,20882,71341,FALSE,Pac-Man,0.45,Atari,Puzzle,1982,2600
91,Shadow Fight 2,792071,100.0 M,4,0.1,GAME ACTION,680584,47463,18399,8824,36799,FALSE,Grand Theft Auto: Liberty City Stories,2.83,Take-Two Interactive,Action,2005,PSP
92,Vector 2,788653,50.0 M,4,0.3,GAME ACTION,537934,79339,56540,30852,83985,FALSE,Super Mario Galaxy 2,2.42,Nintendo,Platform,2010,Wii
93,Slap Kings,777188,50.0 M,4,1.4,GAME ACTION,551328,86449,45301,21966,72141,FALSE,Star Wars Battlefront (2015),3.29,Electronic Arts,Shooter,2015,PS4
94,Bed Wars,771254,50.0 M,4,3.0,GAME ACTION,542497,74237,39639,20325,94553,FALSE,Call of Duty: Advanced Warfare,3.3,Activision,Shooter,2014,PS4
95,Modern Ops - Online FPS (Gun Games Shooter),764042,10.0 M,4,3.0,GAME ACTION,585204,77395,31524,15502,54414,FALSE,The Legend of Zelda: Ocarina of Time,1.89,Nintendo,Action,1998,N64
96,Bullet Force,756002,10.0 M,3,0.1,GAME ACTION,434187,90078,58506,35311,137917,FALSE,Crash Bandicoot 2: Cortex Strikes Back,2.17,Sony Computer Entertainment,Platform,1997,PS
97,SHADOWGUN: DEADZONE,748945,10.0 M,4,0.1,GAME ACTION,554163,80239,38183,14231,62125,FALSE,Super Mario Bros. 2,1.18,Nintendo,Platform,1988,NES
98,Royal Revolt 2: Tower Defense RTS & Castle Builder,727627,10.0 M,4,0.1,GAME ACTION,541833,91851,33669,12216,48055,FALSE,Super Smash Bros. for Wii U and 3DS,1.35,Nintendo,Fighting,2014,3DS
99,Lara Croft: Relic Run,718905,10.0 M,4,0.2,GAME ACTION,445276,83143,55372,35836,99275,FALSE,Call of Duty: World at War,1.9,Activision,Shooter,2008,X360
100,WWE Mayhem,703514,10.0 M,4,0.6,GAME ACTION,519090,68518,34658,17634,63612,FALSE,Battlefield 3,2.13,Electronic Arts,Shooter,2011,X360
101,Roblox,21820451,100.0 M,4,2.6,GAME ADVENTURE,16674013,1916826,822266,423122,1984222,FALSE,The Legend of Zelda: Twilight Princess,2.19,Nintendo,Action,2006,Wii
102,Pokémon GO,14541662,100.0 M,4,0.5,GAME ADVENTURE,9517488,1746849,883965,452314,1941044,FALSE,Call of Duty: Black Ops 3,02.09,Activision,Shooter,2015,XOne
103,Criminal Case,4273420,100.0 M,4,0.1,GAME ADVENTURE,3264905,445397,217853,93681,251581,FALSE,Just Dance,03.03,Ubisoft,Misc,2009,Wii
104,쿠키런 for Kakao,2544322,10.0 M,4,0.0,GAME ADVENTURE,1722222,323198,198160,74312,226427,FALSE,Battlefield 3,2.93,Electronic Arts,Shooter,2011,PS3
105,Harry Potter: Hogwarts Mystery,2258595,50.0 M,4,1.5,GAME ADVENTURE,1659776,310670,122549,48906,116692,FALSE,Need for Speed Underground,2.83,Electronic Arts,Racing,2003,PS2
106,Kiloblocks Lite,2078458,100.0 M,3,0.0,GAME ADVENTURE,1166370,247385,221072,104655,338974,FALSE,Tekken 3,2.22,Sony Computer Entertainment,Fighting,1998,PS
107,Mini World: Block Art,2016845,50.0 M,4,15364.2,GAME ADVENTURE,1423448,161233,90975,57560,283626,FALSE,Crash Bandicoot 3: Warped,1.75,Sony Computer Entertainment,Platform,1998,PS
108,BADLAND,1585186,10.0 M,4,0.1,GAME ADVENTURE,1211041,177267,74388,29809,92678,FALSE,Super Smash Bros. Melee,01.04,Nintendo,Fighting,2001,GC
109,Genshin Impact,1550978,10.0 M,4,6.2,GAME ADVENTURE,1248963,139513,50491,23697,88311,FALSE,Mario Kart 8,02.07,Nintendo,Racing,2014,WiiU
110,Ice Age Adventures,1434245,50.0 M,4,0.1,GAME ADVENTURE,943752,176055,111141,53711,149584,FALSE,Fallout 4,3.15,Bethesda Softworks,Role-Playing,2015,PS4
111,The Walking Dead: Season One,1279866,10.0 M,4,0.1,GAME ADVENTURE,990768,104418,57683,28206,98788,FALSE,Mario Kart: Double Dash!!,1.77,Nintendo,Racing,2003,GC
112,Benji Bananas,1164984,50.0 M,4,0.1,GAME ADVENTURE,851605,128930,74782,26563,83101,FALSE,Just Dance 4,2.21,Ubisoft,Misc,2012,Wii
113,KIM KARDASHIAN: HOLLYWOOD,1096282,10.0 M,4,0.1,GAME ADVENTURE,754581,139419,71549,32075,98655,FALSE,FIFA 14,4.32,Electronic Arts,Sports,2013,PS3
114,Growtopia,1014301,10.0 M,3,0.3,GAME ADVENTURE,542530,73688,72005,51658,274417,FALSE,Need for Speed Underground 2,03.02,Electronic Arts,Racing,2004,PS2
115,Family Guy The Quest for Stuff,1008075,10.0 M,3,0.0,GAME ADVENTURE,587972,126076,79831,49340,164854,FALSE,Medal of Honor: Frontline,2.75,Electronic Arts,Shooter,2002,PS2
116,The Secret Society - Hidden Objects Mystery,892542,5.0 M,4,0.1,GAME ADVENTURE,532135,214918,102189,19643,23655,FALSE,Uncharted 3: Drake's Deception,2.8,Sony Computer Entertainment,Action,2011,PS3
117,June's Journey: Hidden Objects,830121,10.0 M,4,1.9,GAME ADVENTURE,580582,143752,41142,16642,48000,FALSE,Crash Bandicoot,2.35,Sony Computer Entertainment,Platform,1996,PS
118,Murder in the Alps,822854,10.0 M,4,1.0,GAME ADVENTURE,499384,155809,79328,34103,54228,FALSE,Zumba Fitness,2.64,505 Games,Sports,2010,Wii
119,Tiny Miner,753449,5.0 M,4,0.0,GAME ADVENTURE,583782,93073,41661,10380,24550,FALSE,Gears of War 2,1.92,Microsoft Game Studios,Shooter,2008,X360
120,Rayman Adventures,734291,10.0 M,4,0.2,GAME ADVENTURE,548689,77834,37498,17379,52889,FALSE,Uncharted 2: Among Thieves,2.25,Sony Computer Entertainment,Action,2009,PS3
121,Swordigo,728187,10.0 M,4,0.5,GAME ADVENTURE,601386,54972,24205,10694,36927,FALSE,Call of Duty 4: Modern Warfare,2.3,Activision,Shooter,2007,PS3
122,The Walking Dead: Season Two,677145,10.0 M,4,0.1,GAME ADVENTURE,526704,54521,28494,14271,53152,FALSE,FIFA 12,4.32,Electronic Arts,Sports,2011,PS3
123,Eyes: Scary Thriller - Creepy Horror Game,668761,10.0 M,4,1.1,GAME ADVENTURE,502309,64074,32411,16085,53879,FALSE,Big Brain Academy,2.78,Nintendo,Misc,2005,DS
124,ARK: Survival Evolved,653025,10.0 M,4,2.6,GAME ADVENTURE,422638,69283,42381,23676,95044,FALSE,Red Dead Redemption,2.61,Take-Two Interactive,Action,2010,PS3
125,WorldCraft: 3D Build & Block Craft,637160,10.0 M,3,517.9,GAME ADVENTURE,334913,57505,45776,33167,165796,FALSE,FIFA 15,4.29,Electronic Arts,Sports,2014,PS4
126,Sonic Forces – Multiplayer Racing & Battle Game,625580,50.0 M,4,2.4,GAME ADVENTURE,475950,58024,26954,14907,49743,FALSE,Donkey Kong Country Returns,1.84,Nintendo,Platform,2010,Wii
127,RealmCraft with Skins Export to Minecraft,554454,50.0 M,4,2.0,GAME ADVENTURE,378346,47366,27814,19163,81761,FALSE,The Elder Scrolls V: Skyrim,2.71,Bethesda Softworks,Role-Playing,2011,PS3
128,House Designer : Fix & Flip,549049,50.0 M,4,2.3,GAME ADVENTURE,361061,64373,35178,20635,67799,FALSE,The Legend of Zelda,0.93,Nintendo,Action,1986,NES
129,Beggar Life - Clicker adventure,545166,5.0 M,4,0.1,GAME ADVENTURE,367186,59836,37681,19145,61316,FALSE,Assassin's Creed III,2.56,Ubisoft,Action,2012,PS3
130,Animation Throwdown: The Collectible Card Game,532248,10.0 M,4,0.4,GAME ADVENTURE,371942,93262,27248,11087,28706,FALSE,Halo: Combat Evolved,1.3,Microsoft Game Studios,Shooter,2001,XB
131,Jurassic World Alive,530520,10.0 M,4,0.9,GAME ADVENTURE,372553,68645,29737,14509,45074,FALSE,Pokémon Emerald Version,1.58,Nintendo,Role-Playing,2004,GBA
132,Seekers Notes: Hidden Mystery,526594,10.0 M,4,0.6,GAME ADVENTURE,329694,100003,44311,18809,33774,FALSE,Kingdom Hearts,1.2,Sony Computer Entertainment,Role-Playing,2002,PS2
133,Mystery Manor: hidden objects,505541,10.0 M,4,2.3,GAME ADVENTURE,359523,111661,17212,5896,11246,FALSE,Pokémon Crystal Version,1.56,Nintendo,Role-Playing,2000,GB
134,Crab War : Idle Swarm Evolution,495725,5.0 M,4,0.4,GAME ADVENTURE,368974,72587,28261,8217,17684,FALSE,Halo 3: ODST,1.35,Microsoft Game Studios,Shooter,2009,X360
135,Cyber Hunter,491846,10.0 M,4,0.5,GAME ADVENTURE,312123,47791,31641,19418,80871,FALSE,Red Dead Redemption,1.97,Take-Two Interactive,Action,2010,X360
136,Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,486767,10.0 M,4,0.7,GAME ADVENTURE,335639,79203,27697,11655,32572,FALSE,Super Mario Sunshine,1.26,Nintendo,Platform,2002,GC
137,Ninja Arashi,476258,10.0 M,4,1.2,GAME ADVENTURE,371122,46567,19971,9337,29259,FALSE,Street Fighter II: The World Warrior,0.83,Capcom,Fighting,1992,SNES
138,LONEWOLF (17+) - a Sniper Story,443044,10.0 M,4,0.8,GAME ADVENTURE,340597,55084,18141,7442,21778,FALSE,World of Warcraft,6.21,Activision,Role-Playing,2004,PC
139,Super Bob's World: Jungle Adventure- Free Run Game,442542,100.0 M,4,2.4,GAME ADVENTURE,310760,41967,23638,14983,51191,FALSE,Driver,2.8,GT Interactive,Action,1999,PS
140,Monster Warlord,434780,10.0 M,4,0.0,GAME ADVENTURE,282007,58193,28882,13327,52369,FALSE,Kinect Sports,1.78,Microsoft Game Studios,Sports,2010,X360
141,Ingress Prime,428566,10.0 M,3,0.2,GAME ADVENTURE,198352,56692,32869,24522,116130,FALSE,Gears of War 3,1.62,Microsoft Game Studios,Shooter,2011,X360
142,Hidden Hotel: Miami Mystery,394199,10.0 M,4,0.6,GAME ADVENTURE,259228,58165,28583,14117,34104,FALSE,Gears of War,1.9,Microsoft Game Studios,Shooter,2006,X360
143,Survivors: The Quest,376854,1.0 M,4,1.2,GAME ADVENTURE,210364,86173,53464,12423,14428,FALSE,Metal Gear Solid 2: Sons of Liberty,02.01,Konami Digital Entertainment,Action,2001,PS2
144,Manor Matters,373672,10.0 M,4,14.4,GAME ADVENTURE,266506,60287,23503,7143,16231,FALSE,Sonic the Hedgehog 2,1.2,Sega,Platform,1992,GEN
145,Hard Time (Prison Sim),347489,10.0 M,3,0.6,GAME ADVENTURE,213419,36163,25947,15482,56474,FALSE,Metal Gear Solid 4: Guns of the Patriots,1.74,Konami Digital Entertainment,Action,2008,PS3
